Input Size,Average Time
261,0.00273895263671875
262,0.002914905548095703
263,0.0028748512268066406
264,0.0030107498168945312
265,0.0031490325927734375
266,0.0030608177185058594
267,0.0031747817993164062
268,0.0028641223907470703
269,0.0028710365295410156
270,0.003136157989501953
271,0.0030069351196289062
272,0.0030121803283691406
273,0.0031280517578125
274,0.0032830238342285156
275,0.003162860870361328
276,0.003094196319580078
277,0.003184080123901367
278,0.00327301025390625
279,0.003156900405883789
280,0.003042936325073242
281,0.0033829212188720703
282,0.003008127212524414
283,0.0034847259521484375
284,0.003548145294189453
285,0.0033512115478515625
286,0.003567218780517578
287,0.003609180450439453
288,0.0034880638122558594
289,0.0034918785095214844
290,0.0034089088439941406
291,0.0037109851837158203
292,0.003659963607788086
293,0.0037178993225097656
294,0.003840923309326172
295,0.0037381649017333984
296,0.00386810302734375
297,0.0036039352416992188
298,0.0037462711334228516
299,0.003815889358520508
300,0.0038080215454101562
301,0.003981113433837891
302,0.00391697883605957
303,0.0038759708404541016
304,0.004004716873168945
305,0.0037381649017333984
306,0.00394129753112793
307,0.004040956497192383
308,0.003973722457885742
309,0.0041501522064208984
310,0.004082918167114258
311,0.0041921138763427734
312,0.0043680667877197266
313,0.004222869873046875
314,0.004364967346191406
315,0.004494905471801758
316,0.004154205322265625
317,0.004061222076416016
318,0.00445103645324707
319,0.0040700435638427734
320,0.004137277603149414
321,0.004269123077392578
322,0.0043451786041259766
323,0.004475116729736328
324,0.004264116287231445
325,0.004782915115356445
326,0.0044019222259521484
327,0.004705905914306641
328,0.0044438838958740234
329,0.004465818405151367
330,0.004676103591918945
331,0.0047261714935302734
332,0.004467964172363281
333,0.004542112350463867
334,0.004833221435546875
335,0.004869937896728516
336,0.0050580501556396484
337,0.0050160884857177734
338,0.005157947540283203
339,0.005144834518432617
340,0.005074024200439453
341,0.00500798225402832
342,0.00499725341796875
343,0.005079984664916992
344,0.005276918411254883
345,0.004806995391845703
346,0.005123138427734375
347,0.005518674850463867
348,0.0051190853118896484
349,0.005331993103027344
350,0.005114078521728516
351,0.00501704216003418
352,0.0050508975982666016
353,0.005277872085571289
354,0.005637168884277344
355,0.005548715591430664
356,0.005578041076660156
357,0.005382061004638672
358,0.0054950714111328125
359,0.0054378509521484375
360,0.005550861358642578
361,0.005834102630615234
362,0.0058879852294921875
363,0.0059130191802978516
364,0.0058171749114990234
365,0.00548100471496582
366,0.005791187286376953
367,0.00607609748840332
368,0.005980253219604492
369,0.006022930145263672
370,0.005650997161865234
371,0.00644993782043457
372,0.0061130523681640625
373,0.006639957427978516
374,0.006253957748413086
375,0.0056531429290771484
376,0.005964040756225586
377,0.006152153015136719
378,0.006344795227050781
379,0.006489753723144531
380,0.006265878677368164
381,0.006251096725463867
382,0.006376028060913086
383,0.006088972091674805
384,0.0064699649810791016
385,0.006586790084838867
386,0.006201982498168945
387,0.006350040435791016
388,0.006428956985473633
389,0.007035017013549805
390,0.0064051151275634766
391,0.0064318180084228516
392,0.0070726871490478516
393,0.006815910339355469
394,0.006615161895751953
395,0.007108211517333984
396,0.0069048404693603516
397,0.006884098052978516
398,0.0067348480224609375
399,0.006920337677001953
400,0.007122993469238281
401,0.0071222782135009766
402,0.007265806198120117
403,0.0070149898529052734
404,0.007070779800415039
405,0.0070340633392333984
406,0.007143974304199219
407,0.007443904876708984
